hash,dungeon_id,keystone_level,duration,timestamp,faction,members
088430822f7cdb5736b7f1de2f2474de75702d8828920107fb096ce443230782,247,10,2019481,1741988661000,ALLIANCE,0e4634c986b7ca006e908cc54657af0bc2e5cd051d3a4e41271a657015d3f670;5abd262bc8bdbb7e8ef28144407f4c3ffffe7f0c262f8bb811157ecdd4babcc9;e1c09f53cf76becabc11315d896b72be2931177fa621ab2cdb677ce7a8cae749;7beea4d63348b452fa00467e50e993ee040a863da8415c342e696f0b548cb2bc;dabca0adab6899a1e077400b5f0e43ef7ad09f79d8aa41cb07b7671f723732de
4fb049590528a493f94cc74c66c2d4a734fdbfdce35f39cae07d5983eb9b5cc3,247,10,2049342,1742258450000,ALLIANCE,852e6280d0df77970b38b572a31c594536a2ce4ce0e4befb0b881c7747388e27;61c19beb128f804fac08395529d66cab6fb9525bc653006f8c0bc948d362f8dd;64002c9a5e31718398f33e8e459e02c5ee3cafc1d51019cc510e8ddee4e4e911;6658a47f8ea78ce4c386364edfe88e1b654b9729171f87f049d131479ac3deb2;18132d7ff0c2c8d6fefe516ef0267d8714bc8fbe90bef263eb896d7905ac6d28
7f4a0737d3809221d6003c4de361d8ba5070cd3e880e69d29e575642ea913f9b,247,10,2078980,1742067545000,ALLIANCE,09866638c3722943c54ef7f4b2ede92fb4483380da44515e7850c1d3e6d00c4c;346770cd318d3dd48a51d242cf657293f7b2be68822c750158880044dcca0755;44ea46e6e4a5561721588b915e30d2ca8a637c03d2f0f92608ea654dfc0d9694;df8f6e392cf3aa4158a76a45fb6ab163706ba3d0e324c7c9f89552b80540ef6a;ca4fc10abc940bdf85985a73d19362c0f6d0fa9214c83c06505ca2ded3b42bc0
ace6dd3fdd8c84656a71f6ddbf2f2deb814aa6f885b8102fde8875f802b7e5d6,247,10,2156590,1741806877000,ALLIANCE,a301b598769e633cac17e73119b20e6aae1cca4c44a295ce3ca8838a349f71f0;57a5c0354c1fbd2510225c70506a91c151965a92871dcdb722374d0b2ab1eacd;1f316bf4cca867b6d018e83ee5661cb5d8369318fbf6273df1daadfd0792eb7b;3d197d5b0dc5e780017b46baaa6b1a7277897abed0d5c5eae96a3398c4dd733d;2b796073a126e020e859a923db578340310bf45a71a3be50260e9581d559566d
79e5a482ce6b07be88b1997121ef57615452dfb6c3dc62b5195c9c1f8ed6812d,247,10,2256983,1742191361000,ALLIANCE,430cecf499ae0e59e616c057543ec09d7f087c2843886c89aafdcc4a562318f8;d4973ffc16972073468f5377c4bbf97802ca1ea92dd17c37f7193e778426899e;6e452e7f03fe4d9fa54e5cf729bd3937912974724a9a76a7936cbb856f69fd98;8883b97d071b1586299953b7b1e4c1cfe4e8e5e1a7052803ecd4958b8c9eea43;1f316bf4cca867b6d018e83ee5661cb5d8369318fbf6273df1daadfd0792eb7b
1005f111def9bd46a75db8de8d4e2be2fbf627e886e44b127c3bf89f50963ad4,247,10,2348726,1742089033000,HORDE,6c30664339424877a95df49f35e6319c05cfd43367ca694bc4cd970650b108e2;261d7c2cce0bea26e4c91b6711c56face470fb0efd352e0d45484808bfd1e803;31ccb5bd0f97a342e2961b0e57e16c94fddb084b49d7cb1942608d6922807e67;26ba8cdde28f85f49fd87c19a48b0eff2a5e75c4ed7cc19edf8e96183919c477;8fc86d6f9b4399ee913e8e595e31b19beef694429fe0461255b3b0005b3065d1
fa13d534a6e66b454532ffa1729acbbcd3e1236baf065dafc01914decd4122ab,247,10,2358606,1742063614000,ALLIANCE,bed828fac41fc52de0577f05d3e40d23a827d18af256ffeba711869e6288ea79;d29b845cc87f8414ed7624dcdae30f12109ff817f1e3b3f97579b22d6bc9c1c2;df1909f4b0b6b79dd92bee0b3f8add9da370b7d10305a71ee173290e3fd12969;a44dfb3e2072447d24798595e3d56c281916edad4fd4d18ba21dcda3e10b6b1b;4cd5fdcec936a1cb250da206926c13569f7ccaddfd973cfa2f72f5b7a508f518
c368b8b334bf4f87d1201290f9bd4845f3f2b2f57fcdcb088f9f2168608d0201,370,9,1637124,1741843433000,ALLIANCE,a75abdab83e5bd7ec3bf2c07d1bba2c99d5e2f1dd3818244ff9fef7093c439ba;a1c3553d397a02cd311992ea5ca769e56f4ed5a98bda847949dcbb95619be863;55f1c52223529173900489242ba652c792f91e15633f4fb1483ce146c27fc12f;d7f592b6282c6d1f39d6d8410cb12d57642f2d31a63729a6585c4bafb453cd56;b163c5ba9d5610fc6fb40ece1bcf9cfd7a9da0f83c6d2fb08ed9bf6d5b3c7587
37318c3a78a97d44905c4765bf99c9c6e298523d452b68c69962f756bb7a8648,370,9,1649586,1741827346000,ALLIANCE,8e61b94b8ac3ba0191ce9a3de1ee3b33a88e88cb08db16dac04fed26b6a085cd;89984178abb599efcb196590218ef0e8218a587dcb88caa3bdf1b4b9eae2ca8c;4630ee60e8b80180efb531f6c0e4a0ee446deb3489c13911ca0d2f04c57314c0;90fc066a3f055468e4462189fa7eb494f00b471cc3b1e958859c57902eea2210;1a6edcac1e4d6838c08a6d261a3f9bb396c614594000aba68730f72e0a696ec2
7ba21a33a959496ac29449d2abfeda436ba885144603df4ec008757650c96963,370,9,1657322,1742107763000,ALLIANCE,c6578799733d01041d29122f0e97829a2ba12bf8a34ff4aa8554649758dc93fa;242a207337577a3fbbadc57a74c50d29570061a9fa34f95f4916bc7557c41a64;5a2bc0140916fe1d9b3f04839e1d6320a3116131a17c45c404dd927742d0da47;aeb6da123505fcc72fc43a0ea45d23c7b640f006c8e888e29b833dd57070489a;ec1cdfa5a534d02467d9e52a55165da9ff773efb369b47b28fa7b52ccb62d1d2
bb9be14d3f60c112db948976eab8238428bc37aff02e7817dd3a1941c323a0bb,370,9,1687653,1741898322000,ALLIANCE,ca78f0c3371d0eabf6ce82ba32614dc468fcf8db50cf79e3e7806454bd7de307;15e410c2770d0b97344b876230a586e57e8555e7578d2ebedbf3735827c681a1;ed41b094cbda4045a6cabf6d14741721ba909fa362d4b3fc23bfe81341d90d58;467519e48b675403ece80325f0f8179637783c948d6a054e73600226ce39df2a;f8d2445897f6786b0821fdc025795293f5b45e29ef3eec5aa3f550b3ea552726
