hash,dungeon_id,keystone_level,duration,timestamp,faction,members
6cc79d061b94ea6f9ee75d3748c8bb5a7ecb3ff4c3fb9621c6237b59e636302b,247,8,1664095,1742588777000,HORDE,2860da75bdce69c822020b083d1ed7cd3983f4aa949e68dd3424656c7b741d1e;96b761139e794fea279e1721b846bd7c9e9ad829244b1000c42ce00adb6557aa;40d4a7daf5eebe69a4e76f276b06a1b90924af23104b2706cc01ec827fcc0b80;c468223d1ba77a46a99c5118f8200a5be80f6fa485ae52f1ee486d35868df174;0d0a1472f084e3b1aee9eb2c8f5cb56542d1bd566ae372e10d3c7b8b93cdeb6d
7245c3b0f50e5cb48745b2926fc9bce71ba8eae0d485bb8f356985928af7b0c7,247,8,1687631,1742540077000,HORDE,34709661130a1f1432d46b22787c62e381f44c2d9c36dc2ba2d2204735a1347a;60f7f15ae18ad54452a020fb4f4e3dc6efbff398cefb42c89aec97c7964f0fea;6ac3305875dc87504fae1315c206ef5faa9d2311d9e471d9273845110be3dca6;0da254960cbe33afb9c1acb4efb142c6ddf4b72b313a721fc96ec69f1fe220bc;1da2803ea389f4987751920a7004e03f8515a917055e3998192ebb436912cb2d
99e6226c8e392fb71c0480dc3f4cc42641bca75d2c148bda257ef323e599622f,247,8,1764430,1742322560000,ALLIANCE,b5bb9427011b2881b4f545e5ca45a7c9483639dbb784a7b30c418c37f2e8e033;5faff48c5c65a75e582e5476223edfb5a105041ea2068acd186254e382150675;1402c9c6316fad9bd53363905b02f2824c79c84707b2e29892020d20b3d9ac22;f34752ee6a9c892a981a87a3345e2c9c941d2a91a999756c8786c34a2450738f;e24ee4840d9918fd4ef08e309dc62eafd8b49e8470c27cf32d5c18ef26377f60
d59a0cdecc9b84c34d6483a4a360439cb5a88adb112c192dafc6e776d38427ed,247,8,1785985,1742715128000,HORDE,621865bf3bf818f60a8239790ccc5479fcb044cb2e50413e397b1a0e67bbe831;5e0fc5c600ebd90ea5ebc8ee4315dd45e3c542e8dc47ed2f7c81e07d8282ebbb;355a1a910c06dc02073cb930131281c256099f0cc8bc2334c8c5f8ce6a34b9cc;570e2f7b8295cc8cf7dd4be9f0a1696a5c13ef3865e5c92687ba87593fad44f1;a526b2ad03b993c5c041ae0dfa06df02dd8ccfad1fc34285458e6afb4ecdb43a
4724e86699014f1bc5850153cb49f5485267ad69c9f126b44c08014780e23a4b,247,8,1878138,1742766241000,ALLIANCE,59c3521880b36015515a9d864217236db56175e3357b9ce97cef60fc4c11eea8;f8752908662e3d416ff3c55501eee151ed7b122fb19963b729b2234f80e8731b;43028d78aa6bf85b1c18b46408b7d2d1f584e56456a9a508bc7be8d4c75da8e8;92d7580f536560bcfd93fc4217faac316316b280b7c716dfa654affc7335f35f;e6cf5a25e075880440ad7e0cc3caba311e19841d149244d10d6dee4928b633b6
4a267761aa42678d9755f608fccbc58afadd72aae63f7042462b9279213dca44,370,10,1779100,1742437196000,ALLIANCE,4f476393eaba48796e7f9472c65773511d910a359e1531e2d088e6672e11a1a5;155d08e6431e49018e142cf500e6344ba388f96fbfb45f46c0d842920fadf2a5;bc0dc00f671b96124feff575b3fd45367ca34dd2582e9912e7b2dda16e00f194;5511094a600df6605c27871e836ab74cf474b1cac287621dbc5bbbdd4a6825f1;ade0933cec68538b36c398162f2cd44b1b182438ff5ba4fa88416efd80620a97
3ba9f08c286e73c637345a6235a8789713041e0d19ca844becc7487f8b037b73,370,10,1782243,1742416900000,HORDE,144447d130b2b66b2d9680c0128c89ca608be0ff8bc866984731deac6c135f26;c3a91f5661bf1248d33026f302ea51b2107b1b49071d845152bc88423d4cd0e8;d57dc1c7bc13c291ee1948e0c1c357410d0d2151b16114f9425aec6b8ea55417;2c167a6cecc799fb2ffdd62f70069ce5011c7d2016d268f027669dc087c630b8;e62ea6dd2695f19f918299e45f8eeebd0be30a92022bcaa25bd50c73f8f5864c
69e1e86d1782aef8d5bb13bf7981cba595572d07afa0bdb578a1658494f9758d,370,10,1821690,1742525554000,ALLIANCE,ec3bf5eadc7f9066086a397b110ef3fc34e519b968407f3489750f6f987d2116;5cee97bc5734f0f6adc25ade9519df85b6fac240ed182f5bd176a24d70b6948a;8ec23cdb851e26e8c706ccc48732e6ce0097648718e7b11f2d6d50b45b38c4ef;2f8eb0f5f721674e12e530771e426d8eaa35430404f07163af22759e5d212cfb;04a9afa85f2296215f97f29f57d94cc4180530ca1a30a3500f5c9d268f4aebb2
1962ba25565a722c4fa4ac1e8b3cfe5dd2e5746b7cd5e20f6fb1f9b025b693e4,370,10,1835292,1742599450000,HORDE,a71be8e00b9e048902e864461a7d3aa449b27a6068406ccf78dc5ffa15a04da2;01ada29d9597be8b2fd56ec028bc3c4a1f0d14eee68cf00c80c01f5ed0a47005;e40c335e2e51292b7a038efba81c726ef78668b8bd2e9a0de1a67f8d94511a3a;5671889906e007805b2518dad08aca59f779a55c35a96020d03b7f1dda8d68e5;f99fb66bfae41d9f8f4eb97fc2887d367ec586638a204a66b95bcc63a5fbf1b3
013964d158c5b1c8bdebd2ac9611e836a006c23a7968b5c72cb82180429dc24a,370,10,1843368,1742753037000,HORDE,298b8ce84cf33d6678897abbc9f473f3a09f5dc495673526a91b6cb0b817bc58;d05185de4fc9876ff9c79bc8f4cc76fae24e425eb0830162afe7dff48c123fef;fff950b46bb6db8de4e3f006061ed07f85e240fa7474f94ac87e4b90821c94b0;9bebb72d896b93a10ba90b7a6f095601adf6130d9e7b31a6a7c06c2a8025ee7a;416d328e3a251485d9577a6df0f52bf8c8fe7b73f06d2c754a36084ceb1013b7
