hash,dungeon_id,keystone_level,duration,timestamp,faction,members
47e61c167ca8748022a41ffc68d7da66e30ecaf212acfced5b69197bc3b595aa,247,11,1919596,1741471119000,ALLIANCE,7574c7ffabc7e671ead8b3c5765ceccb8eee64f36e97a9ed987c6ee80c3d5006;9ebd9ad77c0865e7f5a5c6a2574476461c5d17efb2fa079d8c433f3b977b32d2;61cb5277b8358064cd9693ca3ae23e09c6a43c6be9efeb33de4632179633a9de;4e64a7caf3655c4e0f65261cd8fcd6b5841e96ebf8178dc3bbc46bca64ebe002;79b74c7273288831050737728b2d5fbe4f8b642fbbf8300e0dd1f2191e499101
374f9ee2cbbdbc27c1b4c65821fb18eac8e649332204b5a7e89f103052e2aa72,247,11,1924162,1741603235000,ALLIANCE,22e84067cba4a92d95e081b8ef29f9ce8d534e8cebf0d01918fc96c24d93f108;844be390b511e495deb26cd79da8e18de50aeb79deb0bfdf702bf4e6cad504f9;5c5934e51380ce56ef7935598803498aff8aa078c04bba3beec9c6be5f1d4f6d;4130428474c65a1e4029ce090a9b7e7cb597a208837f1253899c74b386299c83;124ecfe0a827bbea96b84ee89b2a5766c2c14a6f14e6f62ba808ef8e6f2859a1
bf6b713371cc82565bff2bb25f9c3735cf79b6fec5cea4b359645ef3ad4b3ae4,247,11,1928823,1741545582000,ALLIANCE,add0fe544455dc9c65b754ee7fbba88dc029e1d97c217e58a356116be862d803;18bf2df9a16a6dab4bb3166b4f2ac8a4db76fec8dda79769e328c9d4bcebc66a;02cd16b599cf5a7d152a7e597ff5579a832688f5558ff22e9427274461793a3f;af8a11ea12e14f5eca518e247495be3c2d53274535ba079a241321a1635ee6f3;1058bdfc2b870ff40658964010c64930d0c9c71ae4d946fc3d947f6306adbec8
493ad16d6444231f2859057ea7c837d44cee491f521262472904d137a4ba30e2,247,11,1931164,1741721269000,ALLIANCE,fc3356af2811614d7fc9d713f6ff83f50426a388ac8a1117aefeb47a2ab27dab;ec7083a23d213dcabc2ed4252ee5464d3da0afc5f4a44b458b98c10bff7b828c;6aa7f2bde62348c70f09d4e395b930e78fd5cb02ab95203b72e2ea43ca54f3c4;21f135e3dd72876c96b610dba2cf6e6b6635fface37ac4d6260742fe98141a6c;5ccf898a2bcf9ea7163739113aa82c3845615660d73c4427b3c2325348b54194
78207937e49ab779d736cb232c3add2b383d0574ad3bcbaf102fd243feec4d5d,247,11,1937475,1741656024000,ALLIANCE,ea3d544cf97c4cc3dc94bb2ee6744554e14bbbae75fcab8d46bbf366c31a79d8;593b19656e069e258374c719fc3fdde71ad8e66bd1d15b8b662a576fe7657ff5;584a261b72d8e5fc42b6c96dc41975ad4eeeb2631fbb56583e27a947625b71d7;58ed058667593dff7a15479c652a3848da82c590d9d39d83c9bd35a1d249be0b;279303cfca79d8821f83bf379154b0acd9760994802bc45c7d08bc00e4549201
70e53081392ee0e0b62425e80d9a292eb90725d7f9291e69e46186ed93b53463,247,11,1938260,1741692722000,ALLIANCE,62ffea48b678497722ca75ab7bcd537a0646d7d565e3af325872e40e18cf8282;c203c24e1fc4c4a09bb462938877762a6b7e35e119b69591cd5d9c4a2b5da79c;b3caef8bc3e26260b6d3c2318ab0f81dd33a185af6d62cfbb9f655f58e3a58da;a0e28d263f6ffaa985fa7e20563708cf5112652e8476f2bb22c5b8a5a6494e2b;e2456b56bfc24504ca95042a91136681a1e8ea696d1ebd678d823737f518ade4
2a0610766ca9c0abc14c8893a7a7c88077a460451c688653c75677eb02de6e10,247,11,1942311,1741533170000,ALLIANCE,c14300a087c4e70d604217b808475b7ddec4b4c3cd13713eabac5676d8811aa8;c20c522cc1b785105f4377ddcf84a02676f40c1c339722894947d2be7c1f29e4;35c90e42b36aab96d7f35c87c9812a483eec5526949a615e004b298ab0657259;666c9ee5a2282954b02e349ec5d5c4c437d074bd720daf110e999056e0927c05;320e68852ed24ce7620e685b0478bd5be710b836b508ebea2011b520b4782ff0
6b9522696ec1943333b9c3aa3f2282c6d8fc3c559bce29692453ec59b366a4dd,247,11,1943118,1741708761000,HORDE,db8d1e9cfc2c2b3dee727aa71d8ec0582e2ec2d30ec3d9de3c6c9b8e8c51c83d;eecfd83b8a5be6b804f0e4ac0e18e84c83f43ad3503c66d1d54fd289a65df08e;2eae82f1e5acf9bff79e2735b89007bef196f9f12d2539896f21fb59381f2b4d;948fabcdf84f1061ca1c8be045fde19ce5b2a0147ba9129fd919e23bf7aa6407;797f3cfe1ca89693375cedff1a192d24060d2bd878a2e81e611c9b2fe299ed05
e7781b82f868337595ba1353eb6a7c98cc1b6cb181b32f57f7fab284066d75c0,247,11,1949906,1741627002000,HORDE,4567f121b42db4a622b19a909e75f5e0844258b7554435dcf15cb3008e8ad0ed;ae9f5f1c63152518b48b3a86f0f8f4074e922d9d215d8231231943c5fbcb1730;825aefe02441237ebe0e4f9219dc96230d3bf325bccf8a26f933e7415aa17887;23463cd4abdf8e9ca3f382a078f6bc1dbb106d6a900df81cc117103d029716f8;0fe0255d73162d2ece9d22ce58dd4a141e7db138f663541502fab3f6c67ad12e
8c9d3b4e095aa32559e51a16dc432473a6cf3afe461e81811e04b66a7a91e20d,247,11,1951859,1741703372000,HORDE,f0e9d839d9f2aa92f67d895f2f76ca3ca689ceed797490e4b66c7feb63b4be4c;1df50450f837a635950a742cd9ed6df5df6b7cac82dcf16bcf53f926e081c69b;8261726296e4bddaf79f502f98792d78efb2ed6ba31af315a66226ff98909696;4fa10372e80aa5b2d73250e67a558d711e486c74c1eb2bc6bf4b8a953829b2fe;5cc82f324e8af2d8522baee9c855b871cec92b1ebc0ed31fd8d413c3bc27c430
