hash,dungeon_id,keystone_level,duration,timestamp,faction,members
b78549a767dd463b7be8c7597455cfb6b8b55699e1603fb3efe1977b056eff16,247,12,2075176,1742699998000,HORDE,bad7b103b9acdbd8b6e7d2649fe48773a2123f6161781609f57ebb522ed1058a;cef6f17f0a5d6af1774842e9473970962df8a54d5f88c8f07700bb559c3329f2;63558a16643fba0dc90ed41f36460a8861764f7559d868906965bb1c8e06311b;6260da2c980501e549ff91a8ad496c0c5d5d7eb37040e290d027277d9315c358;e13effcc1a5b790187a6ac26ab8fa4961db28939bef41eae17ac5a3334b186c6
1cc066a51c1f9a28e756b6bfd5a3738f670322a16ea6a2fbc8a1bfe98e4b25c7,247,12,2149639,1742689418000,ALLIANCE,497d35a4c8b7b62cd8086a3bb261e64603060f7075b0a16ec2cf6b2e6e8bac7d;921c1cca7498cfa03d22dbb6367bbbe153e797db90de30a65affc02898cba43c;7756830c942e9b4a427efd07fe37c2bf77340b4b83c0428edc2bc555a6e7f14f;720f98cf63157c6ffc5155d495530f61f70f355059e577bfe8e5041edf108ddc;73af8ba6d4e0e17477dec0763fd3f7f53d32b662aac8ed75690f807bd17f4b16
d1913ed5fbdafab9fe7f6da2261daefde176f9198f38482e4878d82ac5c84d7b,247,12,2174053,1742489170000,ALLIANCE,cf1d2383557120c6d70419d844727d0fe841d42c85dfcf1c8de7876a2318a974;3f99b246446b14784040843faa88c7446ead5d17a26ed31aca1f91005e642698;680a6324c5922fab585aea3c09bbc211d991b4d1881c8569753636f62105e1cb;0484a307b20cb4fe08a55fc736ee97440390c4010f35f8e31e2f023e418c39b4;574282455d0908ddc91031e763ce7ff039ceff42901be53999782b4dee194eb0
5ece690d00d9fd3994dce801a9b4bfff5efc8fcc59cd999f2d0d89581e98d957,370,15,2031251,1742545510000,ALLIANCE,bed129cddabc203397f4f46098f07642ce88ccfbb2d9b3fb3189d5f76fa01009;236f2c49c566a29d15ce2837285796f72e7aeaeed250ad41d5b04ba60db88f31;12b749866c8b9291b3afbb2124283eea7b023f6eb1f777bcab742b38a697e1e8;73cec782570c655ee5e35a311d8e1312e6aa5a0b9714d4ff4ee1812e2bb47886;214a0d61ebf7967aa00e4ec25c9bc2d9ec48106ca8052c130a0979c7c2a3783b
3873b853deb182bc016404bbf9a9e7d31e425834c7d9d5051297afce6ba793b3,370,14,1614798,1742871659000,HORDE,6d433e500f1d083edeb2e40890df1578a3d5fb4becd3eb1192eeb7c9a18fc4f2;08f632560617ebf3d78d5591e3cc4ec5351e3d14f13b5c10e9981593025ab499;e24ab22bd1fe5a20fd4fcac0937008b28fadc93a56879f24834b7935cd28296c;38d1089d50644c89f4fb1f1af4d6635b98f28b95dfe45d4980b9b3f87c9851d5;5b89e208e9463e24e03ef567d5b3dc1c44cc847300a44d73149030004c9261cb
fefcfb1870889b8fb15bc77b8d91a31ca43988342b62b9c5d1b729186228eb2c,370,14,1640160,1742806666000,ALLIANCE,38d1089d50644c89f4fb1f1af4d6635b98f28b95dfe45d4980b9b3f87c9851d5;6d433e500f1d083edeb2e40890df1578a3d5fb4becd3eb1192eeb7c9a18fc4f2;08f632560617ebf3d78d5591e3cc4ec5351e3d14f13b5c10e9981593025ab499;a295c1fd45b152ef3a587ced23a2ee9007344e26e124a110e1e618283beacbaa;e24ab22bd1fe5a20fd4fcac0937008b28fadc93a56879f24834b7935cd28296c
d05d01441dbe197a99f6398a1ae21d4e412b0884a736d077c2d5be2776d161b5,370,14,1758978,1742700226000,ALLIANCE,12b749866c8b9291b3afbb2124283eea7b023f6eb1f777bcab742b38a697e1e8;305096352b7e38fac913feae42fa241fd86da21181ac0855b6b424990b7ec868;3c861ca6b272b394512f3ba50c53b9a06fcd1e67693080cfae1c6cbbc89158d9;62c63731ab00c70961dc5dc8ed29f1e759537afc7deb59ee724ea8d789ed9e6d;8d2cfc139f6e262efdc624daa0cd414d805273975fc1aa424f37b438454f55c8
2c7ace9c1982a72c40f081528105de0efc874c24dda046423c0f6a2c6cf8fd13,382,15,1946772,1742712619000,HORDE,7c89b76be26923eb16b1d64d7bc545bf5b4390e0ca6b5df15fae4f2903777f71;305096352b7e38fac913feae42fa241fd86da21181ac0855b6b424990b7ec868;6447e31fe4940497a8fae7a39df4151649ed0887a560c95f73ee4fdb48c4783b;94b08f297904c25bf29922f9f46fec85330848e01a1b0a1d029726ca603202f3;12b749866c8b9291b3afbb2124283eea7b023f6eb1f777bcab742b38a697e1e8
381e731d8cca1468c6336bb393a83d8cf99ddfd6243414188be04ac5dc799cfe,382,15,1965080,1742702661000,ALLIANCE,8d2cfc139f6e262efdc624daa0cd414d805273975fc1aa424f37b438454f55c8;3c861ca6b272b394512f3ba50c53b9a06fcd1e67693080cfae1c6cbbc89158d9;12b749866c8b9291b3afbb2124283eea7b023f6eb1f777bcab742b38a697e1e8;62c63731ab00c70961dc5dc8ed29f1e759537afc7deb59ee724ea8d789ed9e6d;305096352b7e38fac913feae42fa241fd86da21181ac0855b6b424990b7ec868
39aa8a9cd7054ca2d389bb7dae53ff4fc4a62559d555a23f8a0ce807e54d588e,382,15,2055994,1742699784000,ALLIANCE,08f632560617ebf3d78d5591e3cc4ec5351e3d14f13b5c10e9981593025ab499;a295c1fd45b152ef3a587ced23a2ee9007344e26e124a110e1e618283beacbaa;e24ab22bd1fe5a20fd4fcac0937008b28fadc93a56879f24834b7935cd28296c;6d433e500f1d083edeb2e40890df1578a3d5fb4becd3eb1192eeb7c9a18fc4f2;5b89e208e9463e24e03ef567d5b3dc1c44cc847300a44d73149030004c9261cb
